,ResponseID,Real/Sim,SceneID,Object Configuration,Tgt Location,Ref Location,Camera Location,Vector to Target X,Vector to Target Y,Vector to Target Z,Vector to Reference X,Vector to Reference Y,Vector to Reference Z,LP Scores Dict
30,8,real,3,left,"(15.0, 15.0, 2.0)","(26.0, 15.0, 2.0)","(21.0, 0.0, 2.5)",-6.0,15.0,-0.5,5.0,15.0,-0.5,"{'above': 0.0, 'against': 0.0, 'behind': 0.0, 'at': 0.0, 'beside': 0.0, 'front': 0.0, 'left': 1.0, 'on': 0.0, 'near': 0.0, 'close': 0.0, 'next': 0.0, 'over': 0.0, 'on top': 0.0, 'vicinity': 0.0, 'below': 0.0, 'right': 0.0}"
31,8,real,4,left,"(20.0, 15.0, 2.0)","(21.0, 15.0, 2.0)","(21.0, 0.0, 2.5)",-1.0,15.0,-0.5,0.0,15.0,-0.5,"{'above': 0.0, 'against': 0.0, 'behind': 0.0, 'at': 0.0, 'beside': 0.0, 'front': 0.0, 'left': 0.8333333333333334, 'on': 0.0, 'near': 0.6666666666666666, 'close': 0.6666666666666666, 'next': 0.0, 'over': 0.0, 'on top': 0.0, 'vicinity': 0.0, 'below': 0.0, 'right': 0.16666666666666663}"
32,9,real,1,left,"(20.0, 15.0, 2.0)","(21.0, 15.0, 2.0)","(21.0, 0.0, 2.5)",-1.0,15.0,-0.5,0.0,15.0,-0.5,"{'above': 0.0, 'against': 1.0, 'behind': 0.0, 'at': 0.6666666666666666, 'beside': 1.0, 'front': 0.0, 'left': 1.0, 'on': 0.6666666666666666, 'near': 1.0, 'close': 1.0, 'next': 1.0, 'over': 0.0, 'on top': 0.0, 'vicinity': 0.8333333333333334, 'below': 0.0, 'right': 0.0}"
33,9,real,2,left,"(19.5, 15.0, 2.0)","(21.5, 15.0, 2.0)","(21.0, 0.0, 2.5)",-1.5,15.0,-0.5,0.5,15.0,-0.5,"{'above': 0.0, 'against': 0.0, 'behind': 0.0, 'at': 0.0, 'beside': 0.6666666666666666, 'front': 0.0, 'left': 0.8333333333333334, 'on': 0.0, 'near': 0.8333333333333334, 'close': 0.6666666666666666, 'next': 0.6666666666666666, 'over': 0.0, 'on top': 0.0, 'vicinity': 0.8333333333333334, 'below': 0.0, 'right': 0.16666666666666663}"
34,9,real,3,left,"(15.0, 15.0, 2.0)","(26.0, 15.0, 2.0)","(21.0, 0.0, 2.5)",-6.0,15.0,-0.5,5.0,15.0,-0.5,"{'above': 0.0, 'against': 0.0, 'behind': 0.0, 'at': 0.0, 'beside': 0.3333333333333333, 'front': 0.0, 'left': 0.8333333333333334, 'on': 0.0, 'near': 0.6666666666666666, 'close': 0.6666666666666666, 'next': 0.3333333333333333, 'over': 0.0, 'on top': 0.0, 'vicinity': 0.6666666666666666, 'below': 0.0, 'right': 0.16666666666666663}"
35,9,real,4,left,"(20.0, 15.0, 2.0)","(21.0, 15.0, 2.0)","(21.0, 0.0, 2.5)",-1.0,15.0,-0.5,0.0,15.0,-0.5,"{'above': 0.0, 'against': 0.8333333333333334, 'behind': 0.0, 'at': 0.0, 'beside': 1.0, 'front': 0.0, 'left': 1.0, 'on': 0.0, 'near': 0.8333333333333334, 'close': 0.8333333333333334, 'next': 1.0, 'over': 0.0, 'on top': 0.0, 'vicinity': 0.8333333333333334, 'below': 0.0, 'right': 0.0}"
36,10,real,1,left,"(20.0, 15.0, 2.0)","(21.0, 15.0, 2.0)","(21.0, 0.0, 2.5)",-1.0,15.0,-0.5,0.0,15.0,-0.5,"{'above': 0.0, 'against': 1.0, 'behind': 0.0, 'at': 1.0, 'beside': 1.0, 'front': 0.0, 'left': 1.0, 'on': 0.0, 'near': 1.0, 'close': 1.0, 'next': 1.0, 'over': 0.0, 'on top': 0.0, 'vicinity': 0.0, 'below': 0.0, 'right': 0.0}"
37,10,real,2,left,"(19.5, 15.0, 2.0)","(21.5, 15.0, 2.0)","(21.0, 0.0, 2.5)",-1.5,15.0,-0.5,0.5,15.0,-0.5,"{'above': 0.0, 'against': 0.0, 'behind': 0.0, 'at': 0.0, 'beside': 1.0, 'front': 0.0, 'left': 1.0, 'on': 0.0, 'near': 1.0, 'close': 1.0, 'next': 1.0, 'over': 0.0, 'on top': 0.0, 'vicinity': 0.0, 'below': 0.0, 'right': 0.0}"
38,10,real,3,left,"(15.0, 15.0, 2.0)","(26.0, 15.0, 2.0)","(21.0, 0.0, 2.5)",-6.0,15.0,-0.5,5.0,15.0,-0.5,"{'above': 0.0, 'against': 0.0, 'behind': 0.0, 'at': 0.0, 'beside': 0.0, 'front': 0.0, 'left': 1.0, 'on': 0.0, 'near': 0.0, 'close': 0.0, 'next': 0.0, 'over': 0.0, 'on top': 0.0, 'vicinity': 0.0, 'below': 0.0, 'right': 0.0}"
39,10,real,4,left,"(20.0, 15.0, 2.0)","(21.0, 15.0, 2.0)","(21.0, 0.0, 2.5)",-1.0,15.0,-0.5,0.0,15.0,-0.5,"{'above': 0.0, 'against': 1.0, 'behind': 0.0, 'at': 1.0, 'beside': 1.0, 'front': 0.0, 'left': 1.0, 'on': 0.0, 'near': 0.8333333333333334, 'close': 0.8333333333333334, 'next': 1.0, 'over': 0.0, 'on top': 0.0, 'vicinity': 0.16666666666666666, 'below': 0.0, 'right': 0.0}"
40,11,real,1,left,"(20.0, 15.0, 2.0)","(21.0, 15.0, 2.0)","(21.0, 0.0, 2.5)",-1.0,15.0,-0.5,0.0,15.0,-0.5,"{'above': 0.0, 'against': 0.8333333333333334, 'behind': 0.0, 'at': 0.8333333333333334, 'beside': 0.8333333333333334, 'front': 0.0, 'left': 0.8333333333333334, 'on': 0.3333333333333333, 'near': 0.8333333333333334, 'close': 0.8333333333333334, 'next': 0.8333333333333334, 'over': 0.3333333333333333, 'on top': 0.3333333333333333, 'vicinity': 0.6666666666666666, 'below': 0.0, 'right': 0.16666666666666663}"
41,11,real,2,left,"(19.5, 15.0, 2.0)","(21.5, 15.0, 2.0)","(21.0, 0.0, 2.5)",-1.5,15.0,-0.5,0.5,15.0,-0.5,"{'above': 0.0, 'against': 0.0, 'behind': 0.0, 'at': 0.16666666666666666, 'beside': 0.6666666666666666, 'front': 0.16666666666666666, 'left': 0.16666666666666666, 'on': 0.16666666666666666, 'near': 0.8333333333333334, 'close': 0.8333333333333334, 'next': 0.8333333333333334, 'over': 0.16666666666666666, 'on top': 0.16666666666666666, 'vicinity': 0.8333333333333334, 'below': 0.16666666666666666, 'right': 0.8333333333333334}"
42,11,real,3,left,"(15.0, 15.0, 2.0)","(26.0, 15.0, 2.0)","(21.0, 0.0, 2.5)",-6.0,15.0,-0.5,5.0,15.0,-0.5,"{'above': 0.0, 'against': 0.0, 'behind': 0.0, 'at': 0.0, 'beside': 0.8333333333333334, 'front': 0.0, 'left': 1.0, 'on': 0.0, 'near': 0.0, 'close': 0.0, 'next': 0.8333333333333334, 'over': 0.0, 'on top': 0.0, 'vicinity': 0.3333333333333333, 'below': 0.0, 'right': 0.0}"
43,11,real,4,left,"(20.0, 15.0, 2.0)","(21.0, 15.0, 2.0)","(21.0, 0.0, 2.5)",-1.0,15.0,-0.5,0.0,15.0,-0.5,"{'above': 0.0, 'against': 0.8333333333333334, 'behind': 0.0, 'at': 0.8333333333333334, 'beside': 0.8333333333333334, 'front': 0.16666666666666666, 'left': 0.8333333333333334, 'on': 0.16666666666666666, 'near': 0.6666666666666666, 'close': 0.5, 'next': 0.8333333333333334, 'over': 0.16666666666666666, 'on top': 0.16666666666666666, 'vicinity': 0.8333333333333334, 'below': 0.16666666666666666, 'right': 0.16666666666666663}"
44,12,real,1,left,"(20.0, 15.0, 2.0)","(21.0, 15.0, 2.0)","(21.0, 0.0, 2.5)",-1.0,15.0,-0.5,0.0,15.0,-0.5,"{'above': 0.0, 'against': 1.0, 'behind': 0.0, 'at': 1.0, 'beside': 1.0, 'front': 0.0, 'left': 1.0, 'on': 0.0, 'near': 0.8333333333333334, 'close': 1.0, 'next': 1.0, 'over': 0.0, 'on top': 0.0, 'vicinity': 1.0, 'below': 0.0, 'right': 0.0}"
45,12,real,2,left,"(19.5, 15.0, 2.0)","(21.5, 15.0, 2.0)","(21.0, 0.0, 2.5)",-1.5,15.0,-0.5,0.5,15.0,-0.5,"{'above': 0.0, 'against': 0.0, 'behind': 0.0, 'at': 0.0, 'beside': 1.0, 'front': 0.0, 'left': 1.0, 'on': 0.0, 'near': 1.0, 'close': 0.6666666666666666, 'next': 0.6666666666666666, 'over': 0.0, 'on top': 0.0, 'vicinity': 1.0, 'below': 0.0, 'right': 0.0}"
46,12,real,3,left,"(15.0, 15.0, 2.0)","(26.0, 15.0, 2.0)","(21.0, 0.0, 2.5)",-6.0,15.0,-0.5,5.0,15.0,-0.5,"{'above': 0.0, 'against': 0.0, 'behind': 0.0, 'at': 0.0, 'beside': 0.16666666666666666, 'front': 0.0, 'left': 1.0, 'on': 0.0, 'near': 0.3333333333333333, 'close': 0.16666666666666666, 'next': 0.16666666666666666, 'over': 0.0, 'on top': 0.0, 'vicinity': 0.5, 'below': 0.0, 'right': 0.0}"
47,12,real,4,left,"(20.0, 15.0, 2.0)","(21.0, 15.0, 2.0)","(21.0, 0.0, 2.5)",-1.0,15.0,-0.5,0.0,15.0,-0.5,"{'above': 0.0, 'against': 1.0, 'behind': 0.0, 'at': 1.0, 'beside': 1.0, 'front': 0.0, 'left': 1.0, 'on': 0.0, 'near': 0.6666666666666666, 'close': 1.0, 'next': 1.0, 'over': 0.0, 'on top': 0.0, 'vicinity': 0.6666666666666666, 'below': 0.0, 'right': 0.0}"
48,13,real,1,left,"(20.0, 15.0, 2.0)","(21.0, 15.0, 2.0)","(21.0, 0.0, 2.5)",-1.0,15.0,-0.5,0.0,15.0,-0.5,"{'above': 0.0, 'against': 0.0, 'behind': 0.0, 'at': 0.0, 'beside': 0.6666666666666666, 'front': 0.16666666666666666, 'left': 0.8333333333333334, 'on': 0.0, 'near': 0.6666666666666666, 'close': 0.8333333333333334, 'next': 0.6666666666666666, 'over': 0.0, 'on top': 0.0, 'vicinity': 0.6666666666666666, 'below': 0.16666666666666666, 'right': 0.16666666666666663}"
49,13,real,2,left,"(19.5, 15.0, 2.0)","(21.5, 15.0, 2.0)","(21.0, 0.0, 2.5)",-1.5,15.0,-0.5,0.5,15.0,-0.5,"{'above': 0.0, 'against': 0.0, 'behind': 0.0, 'at': 0.0, 'beside': 0.8333333333333334, 'front': 0.0, 'left': 0.8333333333333334, 'on': 0.0, 'near': 0.8333333333333334, 'close': 0.8333333333333334, 'next': 0.8333333333333334, 'over': 0.0, 'on top': 0.0, 'vicinity': 0.8333333333333334, 'below': 0.0, 'right': 0.16666666666666663}"
50,13,real,3,left,"(15.0, 15.0, 2.0)","(26.0, 15.0, 2.0)","(21.0, 0.0, 2.5)",-6.0,15.0,-0.5,5.0,15.0,-0.5,"{'above': 0.0, 'against': 0.0, 'behind': 0.0, 'at': 0.0, 'beside': 0.0, 'front': 0.0, 'left': 0.8333333333333334, 'on': 0.0, 'near': 0.0, 'close': 0.0, 'next': 0.0, 'over': 0.0, 'on top': 0.0, 'vicinity': 0.0, 'below': 0.0, 'right': 0.16666666666666663}"
